Date,SO2 min,SO2 max,CO2 min,CO2 max,SO2 total,,SO2 IGME,,SO2 TROPOMI,SO2 OMI,SO2 OMPS,DATE,SO2 TROPOMI clean,SO2 OMI clean,SO2 OMPS clean
21-09-19,6000,9000,-9999,-9999,,,,,,,,,,,
21-09-20,8000,10600,-9999,-9999,,,,,32532.5,2682,12379,21-09-20,32532.5,-9999,12379
21-09-21,6140,11500,-9999,-9999,,,,,30822.4,28371,24857,21-09-21,30822.4,28371,24857
21-09-22,-9999,-9999,-9999,-9999,,,,,17169.6,64,11990,21-09-22,17169.6,-9999,11990
21-09-23,12000,12000,-9999,-9999,,,,,42452.7,36325,25212,21-09-23,42452.7,36325,25212
21-09-24,28000,28000,-9999,-9999,,,,,39885.9,0,25672,21-09-24,39885.9,-9999,25672
21-09-25,25000,25000,-9999,-9999,,,,,24709.7,14707,18055,21-09-25,24709.7,-9999,18055
21-09-26,16380,16380,-9999,-9999,,,,,13963.8,10,13420,21-09-26,13963.8,-9999,13420
21-09-27,757,757,-9999,-9999,,,,,6946.7,5297,8564,21-09-27,6946.7,5297,8564
21-09-28,16757,16757,-9999,-9999,,,,,21511.4,26080,22932,21-09-28,21511.4,26080,22932
21-09-29,7149,7149,-9999,-9999,,,,,23336.4,1107,19072,21-09-29,23336.4,-9999,19072
21-09-30,8700,8700,-9999,-9999,,,,,25411.9,21412,23773,21-09-30,25411.9,21412,23773
21-10-01,2330,2330,1870,1870,,,,,22797.2,0,23404,21-10-01,22797.2,-9999,23404
21-10-02,3401,3401,1813,1813,,,,,38863.2,25497,34768,21-10-02,38863.2,-9999,34768
21-10-03,16000,16000,1748,1748,,,,,43323.5,4332,22662,21-10-03,43323.5,-9999,22662
21-10-04,1200,1200,1600,1600,250000,,,,16467.6,7417,11419,21-10-04,16467.6,-9999,11419
21-10-05,5849,5849,1650,1650,,,,,17820.2,15617,15447,21-10-05,17820.2,15617,15447
21-10-06,13100,13100,1596,1596,,,,,15946,1305,13135,21-10-06,15946,-9999,13135
21-10-07,4994,4994,1668,1668,,,,,21494.6,27941,28164,21-10-07,21494.6,27941,28164
21-10-08,6876,6876,1837,1837,,,,,21749.2,-9999,19746,21-10-08,21749.2,-9999,19746
21-10-09,4522,4522,1958,1958,,,,,8924.4,8760,6075,21-10-09,8924.4,8760,6075
21-10-10,7652,7652,1884,1884,,,,,24876.1,0,21818,21-10-10,24876.1,-9999,21818
21-10-11,21868,21868,1844,1844,,,,,30984.6,20800,31576,21-10-11,30984.6,-9999,31576
21-10-12,17774,17774,1234,1234,,,,,20536.6,5266,21286,21-10-12,20536.6,-9999,21286
21-10-13,15995,15995,1209,1209,,,,,18001.1,7090,16009,21-10-13,18001.1,-9999,16009
21-10-14,14542,14542,1184,1184,,,,,11171.4,11757,-9999,21-10-14,11171.4,11757,-9999
21-10-15,2882,2882,1224,1224,,,,,10194.9,270,8217,21-10-15,10194.9,-9999,8217
21-10-16,8278,8278,992,992,,,,,17627.1,16873,17341,21-10-16,17627.1,16873,17341
21-10-17,3929,3929,842,842,,,,,21308.2,0,23227,21-10-17,21308.2,-9999,23227
21-10-18,9938,9938,822,822,,,,,22845.1,14623,24240,21-10-18,22845.1,-9999,24240
21-10-19,7513,7513,703,703,,,,,-9999,1842,9352,21-10-19,-9999,-9999,9352
21-10-20,2710,2710,663,663,,,,,15531,8449,13082,21-10-20,15531,-9999,13082
21-10-21,28745,28745,633,633,,,,,21621.8,20150,22507,21-10-21,21621.8,20150,22507
21-10-22,31600,31600,623,623,,,,,18882.9,1403,21001,21-10-22,18882.9,-9999,21001
21-10-23,3200,3200,799,799,,,,,11273.3,9985,11066,21-10-23,11273.3,9985,11066
21-10-24,53600,53600,803,803,,,,,11195.8,0,6443,21-10-24,11195.8,-9999,6443
21-10-25,40800,40800,1121,1121,,,,,15197.1,10732,11842,21-10-25,15197.1,10732,11842
21-10-26,37350,37350,1320,1320,,,,,7304,526,7472,21-10-26,7304,-9999,7472
21-10-27,16350,16350,1380,1380,,,,,7899,4165,7979,21-10-27,7899,-9999,7979
21-10-28,15000,15000,1372,1372,,,,,7200.9,5462,6717,21-10-28,7200.9,-9999,6717
21-10-29,11350,11350,1414,1414,,,,,6832.1,979,4343,21-10-29,6832.1,-9999,4343
21-10-30,7700,7700,1450,1450,,,,,4973.9,7984,4992,21-10-30,4973.9,7984,4992
21-10-31,4990,4990,1500,1500,,,,,10860.6,0,11632,21-10-31,10860.6,-9999,11632
21-11-01,22000,22000,1520,1520,,,,,19628.4,20177,23289,21-11-01,19628.4,20177,23289
21-11-02,9600,9600,1750,1750,,,,,24986.9,7,28403,21-11-02,24986.9,-9999,28403
21-11-03,29400,29400,1850,1850,,,,,20668.2,17420,25670,21-11-03,20668.2,17420,25670
21-11-04,31300,31300,1875,1875,,,,,11666.1,484,11380,21-11-04,11666.1,-9999,11380
21-11-05,26000,26000,1900,1900,,,,,9499.8,4651,8281,21-11-05,9499.8,-9999,8281
21-11-06,21300,24550,1200,1200,,,,,4980.1,5141,5904,21-11-06,4980.1,5141,5904
21-11-07,16600,23100,1200,1200,,,,,3551.1,2,3843,21-11-07,3551.1,-9999,3843
21-11-08,9000,13000,1700,1900,,,,,1523.2,1496,1807,21-11-08,1523.2,1496,1807
21-11-09,31000,43000,1800,2000,,,,,3684.9,0,1935,21-11-09,3684.9,-9999,1935
21-11-10,13000,15000,1800,1900,200,1300,,,2827.3,2347,3100,21-11-10,2827.3,2347,3100
21-11-11,7000,21000,1800,1950,,,,,0,0,2643,21-11-11,-9999,-9999,2643
21-11-12,14000,20000,1600,1850,,,,,5990,2611,6849,21-11-12,5990,-9999,6849
21-11-13,2000,4000,1800,2000,,,,,3996.6,1312,4265,21-11-13,3996.6,-9999,4265
21-11-14,12000,15000,1900,2100,,,,,2150.6,339,2420,21-11-14,2150.6,-9999,2420
21-11-15,3000,3500,2000,2500,,,,,2194.6,2679,2067,21-11-15,2194.6,2679,2067
21-11-16,2000,3000,2200,2500,,,,,2784.7,2,2784,21-11-16,2784.7,-9999,2784
21-11-17,16000,32000,2300,2500,,,,,1627.5,690,1798,21-11-17,1627.5,690,1798
21-11-18,17000,26000,2400,2600,,,,,4599.9,0,4695,21-11-18,4599.9,-9999,4695
21-11-19,10000,17000,2400,2700,,,,,5639.3,4325,5926,21-11-19,5639.3,4325,5926
21-11-20,7000,18000,2200,2600,,,,,5088.8,0,4243,21-11-20,5088.8,-9999,4243
21-11-21,900,1300,2000,2300,,,,,3165.7,3557,2843,21-11-21,3165.7,3557,2843
21-11-22,4500,6000,2500,2900,,,,,4325.2,847,3978,21-11-22,4325.2,-9999,3978
21-11-23,1300,18000,2400,2900,,,,,3278.5,1597,3429,21-11-23,3278.5,-9999,3429
21-11-24,1000,29999,1000,6500,,,,,7359.6,4452,7986,21-11-24,7359.6,-9999,7986
21-11-25,1000,29999,1000,6500,,,SO2 levels,,1007,19,986,21-11-25,1007,-9999,986
21-11-26,1000,29999,1000,6500,,,EXTREMADAMENTE ALTA,> 50000,4688.3,3733,2213,21-11-26,4688.3,3733,2213
21-11-27,30000,49999,1000,6500,,0,MUY ALTA,30000-49999,2785.2,33,3091,21-11-27,2785.2,-9999,3091
21-11-28,1000,29999,1000,6500,,,ALTA,1000-29999,2106.1,411,2419,21-11-28,2106.1,-9999,2419
21-11-29,1000,29999,1000,6500,5X base,,MEDIA,100-999,1140.9,1230,1306,21-11-29,1140.9,1230,1306
21-11-30,1000,29999,1000,6500,,,BAJA,50-99,1357.7,390,1392,21-11-30,1357.7,-9999,1392
21-12-01,1000,29999,1000,6500,,,MUY BAJA,5-49,5475.9,6166,3985,21-12-01,5475.9,6166,3985
21-12-02,1000,29999,1000,6500,,,EXTREDAMENTE BAJA,< 5,1683,0,1594,21-12-02,1683,-9999,1594
21-12-03,1000,29999,940,6110,4.7 x base,,,,832.9,459,918,21-12-03,832.9,459,918
21-12-04,1000,29999,1060,6890,5.3 x base,,,,436,0,466,21-12-04,436,-9999,466
21-12-05,1000,29999,1220,7930,6.1 x base,,,,410.8,79,379,21-12-05,410.8,-9999,379
21-12-06,1000,29999,1240,8060,6.2 x base,,,,-9999,124,297,21-12-06,-9999,-9999,297
21-12-07,1000,29999,1100,7150,5.5x base,,,,374,13,257,21-12-07,374,-9999,257
21-12-08,1000,29999,1120,7280,5.6 x base,,,,1684.2,1983,1826,21-12-08,1684.2,1983,1826
21-12-09,1000,29999,1100,7150,5.5x base,,,,660.1,-9999,663,21-12-09,660.1,-9999,663
21-12-10,1000,29999,1360,8840,6.8 x base,,,,347.6,380,379,21-12-10,347.6,380,379
21-12-11,1000,29999,1380,8970,6.9,,,,561.8,-9999,441,21-12-11,561.8,-9999,441
21-12-12,1000,29999,1380,8970,6.9,,,,1494.2,1122,1290,21-12-12,1494.2,1122,1290
21-12-13,1000,29999,1580,10270,7.9,,,,3300,5,3384,21-12-13,3300,-9999,3384
21-12-14,5,5,1800,11700,9,,,,1661,964,1849,21-12-14,1661,-9999,1849
21-12-15,50,99,1860,12090,9.3,,,,-9999,2,4,21-12-15,-9999,2,4
21-12-16,100,999,-9999,-9999,,,,,-9999,-9999,-9999,21-12-16,-9999,-9999,-9999
21-12-17,50,99,1780,11570,8.9,,,,-9999,9,-9999,21-12-17,-9999,9,-9999
21-12-18,50,99,1780,11570,8.9,,,,-9999,-9999,-9999,21-12-18,-9999,-9999,-9999
21-12-19,5,49,1700,11050,8.5,,,,-9999,7,0,21-12-19,-9999,7,-9999
21-12-20,43.2,423.36,1700,11050,8.5,,Escala de rangos de emisiÃ³n de SO2 expresada como kg/s,,-9999,-9999,-9999,21-12-20,-9999,-9999,-9999
21-12-21,43.2,423.36,1700,11050,8.5,,MUY ALTA > 500 kg/s; ALTA entre 50 y 499 kg/s,,-9999,-9999,-9999,21-12-21,-9999,-9999,-9999
21-12-22,,,,,,,MEDIA entre 5 y 49 kg/s,,-9999,-9999,-9999,21-12-22,-9999,-9999,-9999
21-12-23,,,,,,,"BAJA entre 0,5 y 4,9 kg/s",,-9999,-9999,-9999,21-12-23,-9999,-9999,--9999
21-12-24,,,,,,,"MUY BAJA < 0,5 kg/s",43200,-9999,5,-9999,21-12-24,-9999,5,-9999
21-12-25,,,,,,,43200,,-9999,-9999,-9999,21-12-25,-9999,-9999,-9999
21-12-26,,,,,,,423360,,-9999,2,-9999,21-12-26,-9999,2,-9999
21-12-27,,,,,,,,,-9999,-9999,-9999,21-12-27,-9999,-9999,-9999
21-12-28,,,,,,,,,-9999,-9999,-9999,21-12-28,-9999,-9999,-9999
21-12-29,,,,,,,,,-9999,-9999,-9999,21-12-29,-9999,-9999,-9999
21-12-30,,,,,,,,,-9999,2,-9999,21-12-30,-9999,2,-9999
21-12-31,,,,,,,,,-9999,-9999,-9999,21-12-31,-9999,-9999,-9999
22-01-01,,,,,,,,,-9999,7,-9999,22-01-01,-9999,7,-9999
22-01-02,,,,,,,,,-9999,-9999,-9999,22-01-02,-9999,-9999,-9999
22-01-03,,,,,,,,,-9999,-9999,-9999,22-01-03,-9999,-9999,-9999
22-01-04,,,,,,,,,,,,22-01-04,,-9999,
22-01-05,,,,,,,,,,,,22-01-05,,-9999,
22-01-06,,,,,,,,,,,,22-01-06,,-9999,
22-01-07,,,,,,,,,,,,22-01-07,,-9999,
22-01-08,,,,,,,,,,,,22-01-08,,2,
22-01-09,,,,,,,,,,,,22-01-09,,-9999,
22-01-10,,,,,,,,,,,,22-01-10,,-9999,
22-01-11,,,,,,,,,,,,22-01-11,,3,
22-01-12,,,,,,,,,,,,22-01-12,,-9999,
22-01-13,,,,,,,,,,,,22-01-13,,5,
22-01-14,,,,,,,,,,,,22-01-14,,-9999,
22-01-15,,,,,,,,,,,,22-01-15,,-9999,
22-01-16,,,,,,,,,,,,22-01-16,,-9999,
22-01-17,,,,,,,,,,,,22-01-17,,-9999,
22-01-18,,,,,,,,,,,,22-01-18,,7,
22-01-19,,,,,,,,,,,,22-01-19,,-9999,
22-01-20,,,,,,,,,,,,22-01-20,,2,
22-01-21,,,,,,,,,,,,22-01-21,,-9999,
22-01-22,,,,,,,,,,,,22-01-22,,-9999,